id,message_size,actual rtt,rtt,min_rtt,rttvar,cwnd,delivery_rate
4382,2090000,146998,3888,76,3594,1134356,22876107
6990,2740000,220821,3805,56,3396,1027278,16196588
8645,3160000,390420,11117,77,13087,2076403,2160189
2397,1590000,133123,6272,11,6048,1035198,12950863
4878,2210000,149308,3580,76,4071,818532,16553165
5436,2350000,314067,11385,81,10318,1893483,11622876
6888,2720000,177168,3933,56,3578,1102314,21408163
2005,1500000,94368,3155,11,3457,550760,12421837
4339,2080000,667359,24129,76,31707,1340412,2529817
6197,2540000,214395,4082,56,4086,599846,7361270
8978,3240000,254153,4339,142,4174,1365606,12753765
9449,3360000,249624,7455,71,8086,1027032,15345137
1965,1490000,272045,5987,11,6706,896751,16308239
3795,1940000,459637,4324,70,2989,1207088,15714238
4266,2060000,113898,4147,70,3626,1081144,20501752
796,1190000,59574,4846,11,3966,439976,18737136
5813,2450000,1136787,56360,81,53720,5470598,1528868
5028,2250000,173308,5141,81,3765,1125875,17610447
7731,2930000,163520,9360,85,11184,618744,1721151
9517,3370000,191050,10014,71,8652,1555331,15750317
2412,1600000,114376,8727,11,8497,1588198,12315586
10168,3540000,279288,4160,145,4110,1082141,18647197
7176,2790000,229803,3865,56,3143,1119728,22078923
10526,3630000,230785,3443,129,3527,585074,28565166
4811,2200000,117456,3443,76,4111,199308,51207991
5084,2270000,231849,5016,81,3594,1527278,14282610
6584,2640000,133841,3224,56,2684,894226,24131983
11851,3960000,255305,5029,78,4571,1162865,20861519
619,1150000,82936,4280,11,3829,1239813,16541045
4521,2130000,268162,8281,76,8656,1691318,11385461
9052,3260000,462120,7221,131,9306,730734,13977244
849,1210000,83024,3967,11,3929,495345,26212537
6170,2540000,132891,8167,56,11673,1320443,1797799
4448,2110000,140187,9122,76,8733,1917874,12236832
4011,2000000,479315,7326,70,7198,1716208,11257026
9072,3260000,210739,3223,131,3533,363018,12751919
11242,3810000,210937,4405,101,3426,969153,19765553
6511,2620000,293867,4038,56,3384,1250400,20092437
8052,3010000,163045,4171,77,4976,915750,19771743
3639,1900000,117677,9670,70,8448,1590414,11164232
8599,3140000,188062,4705,77,4353,997488,18846394
8374,3090000,222596,4903,77,4372,1132724,17588781
7778,2940000,159663,4065,85,4641,449140,20989322
2219,1550000,93840,5119,11,5464,213920,30697895
11962,3990000,331330,3112,78,3604,290966,4461751
3547,1880000,125417,3293,70,3540,420686,18012953
6637,2650000,185979,6737,56,8357,1105904,19943105
1880,1470000,128605,5698,11,6031,563094,20950931
3610,1900000,282563,10433,70,13435,199308,29956838
3719,1920000,103022,4186,70,3063,1156072,22660965
3781,1940000,267022,13347,70,14417,938208,9093157
8315,3070000,205794,3726,77,2686,1181584,21877201
11027,3750000,303903,5056,101,5771,1198643,15265993
1943,1480000,77032,3028,11,3445,199308,48790790
7820,2950000,201655,3957,85,2786,1021920,21629440
6270,2560000,122336,3062,56,2942,825442,25815620
8759,3180000,708576,6227,77,6502,1445434,13614622
4102,2020000,149719,18852,70,23190,1126696,12949421
7223,2800000,291228,5457,56,5115,1417262,14529439
7649,2910000,256100,3320,85,2681,888172,10074692
10611,3650000,362003,4173,129,4662,888252,18241593
10350,3580000,222900,3530,129,3658,493377,10736716
11344,3830000,478524,9056,78,8107,1840807,10771050
